Fecha,Hora,Jornada,Equipo,Especie,Tratamiento,Micrositio,Orientación,Semillas/Hoyo,Protector,Sustrato,Lat,Lng,Golpes,Notas,Foto URL
20/12/2025,12:30:01,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2861714,-0.7569989,1,"Nota de prueba",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FP9KEIVCQU1ESS7LhnRFb.jpg?alt=media&token=22da9179-3cb4-4150-9db6-61aabd5d561f
20/12/2025,12:29:52,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2861075,-0.756784,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FAC5aWEjfkZOvK6PjcxCo.jpg?alt=media&token=97327f5c-ce89-4d85-befe-86c480260687
20/12/2025,12:29:42,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2861765,-0.7569279,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F8TXg2gnmuA9819pqzOLp.jpg?alt=media&token=a6322918-e722-4e77-b1b6-870f4f48d9f8
20/12/2025,12:29:33,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2861294,-0.7569325,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F6LeS0PKOw1hVprtvz453.jpg?alt=media&token=5e7293af-bbc0-4663-81dd-e157d8f7ff01
20/12/2025,12:29:22,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2861478,-0.7569143,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FZG1GvT6UP2MixhhdLRlJ.jpg?alt=media&token=90fd70b7-015a-4090-869b-6bb72f94b46c
20/12/2025,12:29:14,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2861644,-0.7569093,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FbY4mNrbFerk4fjqmCVBU.jpg?alt=media&token=037188e4-c1f8-41f5-af96-b749ce9a2448
20/12/2025,12:26:05,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Alcorque,Sur,1,No,No,38.2862365,-0.7570371,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FgzIPvX8lQbzbPHbMFfBz.jpg?alt=media&token=b7f2ccbc-f073-4596-a7ef-b090bd9d766b
20/12/2025,12:25:55,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Alcorque,Sur,1,No,No,38.2861855,-0.7569538,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F2q9QiyUep7Zme3bbk94v.jpg?alt=media&token=be57c7f6-5443-4103-a007-c7e8ae739c51
20/12/2025,12:25:46,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Alcorque,Sur,1,No,No,38.2861183,-0.7570441,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F5LljhMHedI3P003DfpmW.jpg?alt=media&token=732739c3-eb1d-45d4-bd80-9aebbe069478
20/12/2025,12:25:45,0C75tonmZQtEmIslT396,Elena y Javi,Algarrobo ,Hidroprimig,Nodriza Muerta,Norte,1,No,No,38.2861732406777,-0.7574409559450561,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2Fl2MhiAvf7VJVeOa0RaI4.jpg?alt=media&token=81201934-5db4-467f-b5c6-e32b03047525
20/12/2025,12:25:04,0C75tonmZQtEmIslT396,Aaron y Olivier,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Este,1,No,No,,,1,"1A 1T 2B",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FegBHYnYpte7pFO1naVLx.jpg?alt=media&token=27752449-e107-4713-893e-c25539e94b0a
20/12/2025,12:24:54,0C75tonmZQtEmIslT396,Rober y Leslie,Algarrobo ,Hidroprimig,Nodriza Muerta,Este,1,No,No,38.286615,-0.756435,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FeflcsrbSyUmxfslU5ZGB.jpg?alt=media&token=aaec92e1-6a93-4b41-8f40-d1c979101d15
20/12/2025,12:23:05,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2860562,-0.7569918,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F2fLvX76OS02d9M3TgQ2r.jpg?alt=media&token=d66176f0-1526-493e-9c9e-ca38ae63772c
20/12/2025,12:22:57,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2860807,-0.7569822,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FeapP5e4slVKriNY3JnYL.jpg?alt=media&token=73bfe0b4-da4e-44b0-af4a-a0c24e70fa5b
20/12/2025,12:22:49,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2860695,-0.7569605,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2FY1cpRkDRoNJyoxOFW0Oz.jpg?alt=media&token=97d523ba-704b-439e-873b-c1e8bb989d91
20/12/2025,12:22:40,0C75tonmZQtEmIslT396,Belén y Rubén ,Tetraclinis,Hidropriming 72h,Nodriza Muerta,Oeste,1,No,No,38.2860724,-0.7569847,1,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F7MDBcH3ftezDVcFLzcHp.jpg?alt=media&token=6785c247-f272-48a9-b778-c332e79f28e7
