Fecha,Hora,Jornada,Equipo,Especie,Tratamiento,Micrositio,Orientación,Semillas/Hoyo,Protector,Sustrato,Lat,Lng,Golpes,Notas,Foto URL
17/1/2026,11:12:22,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Norte,1,No,No,38.2842726,-0.7493627,6,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768644739667_mWnMQQhza2R28shbKgB1soANvGW2_fisa3xlsa_1768644739667.jpg?alt=media&token=597e4bed-f4c1-40b6-98bd-ed1ecc56a1e7
17/1/2026,11:09:17,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Norte,1,No,No,38.2842271,-0.7494245,10,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768644555094_mWnMQQhza2R28shbKgB1soANvGW2_nza6iu8yb_1768644555094.jpg?alt=media&token=4f3ab283-0675-4de1-af8f-222b0d2c0733
17/1/2026,11:02:44,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Alcorque,Este,1,No,No,38.2839734,-0.7492608,2,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768644159279_mWnMQQhza2R28shbKgB1soANvGW2_bfc0qaxzl_1768644159279.jpg?alt=media&token=efdf1eff-78b9-48d6-a308-24ea45e208e4
17/1/2026,10:53:52,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Este,1,No,No,38.2845322,-0.748731,6,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768643628530_mWnMQQhza2R28shbKgB1soANvGW2_tlo1491eu_1768643628530.jpg?alt=media&token=2432e0b9-0601-451e-8f79-64fbc5d52c40
17/1/2026,10:49:17,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Este,1,No,No,38.2845574,-0.7487367,6,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768643354366_mWnMQQhza2R28shbKgB1soANvGW2_3z4bzp4y8_1768643354366.jpg?alt=media&token=f184693e-2072-4817-bf7d-5ea6caf28754
17/1/2026,10:44:11,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Este,1,No,No,38.2843473,-0.7488646,8,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768643048608_mWnMQQhza2R28shbKgB1soANvGW2_2p9p35zrp_1768643048608.jpg?alt=media&token=91c09207-3ad4-454e-b48f-6935644e3289
17/1/2026,10:39:39,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Oeste,1,No,No,38.2843033,-0.7485079,2,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768642772064_mWnMQQhza2R28shbKgB1soANvGW2_mm89diyei_1768642772064.jpg?alt=media&token=a277a0a6-4cb2-48c7-830c-3b5905f45052
17/1/2026,10:37:25,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Este,1,No,No,38.2843818,-0.7487061,2,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768642642290_mWnMQQhza2R28shbKgB1soANvGW2_xduv7u8tj_1768642642290.jpg?alt=media&token=6435bc10-c16f-4e83-a769-9e50b81d9e9b
17/1/2026,10:34:56,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Oeste,1,No,No,38.2842861,-0.7486982,3,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768642494404_mWnMQQhza2R28shbKgB1soANvGW2_8gci72r0g_1768642494404.jpg?alt=media&token=cd7a5deb-15ce-40d2-b7bd-1d17c71d5c06
17/1/2026,10:31:50,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Este,1,No,No,38.2841971,-0.7486098,15,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768642307656_mWnMQQhza2R28shbKgB1soANvGW2_lq5oqgnlm_1768642307656.jpg?alt=media&token=edc2a7a5-6eff-4818-a0df-acbe37ea5afe
17/1/2026,10:23:15,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Este,1,No,No,38.2841411,-0.7484767,3,"Oxalis",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768641793445_mWnMQQhza2R28shbKgB1soANvGW2_79lneb8wb_1768641793445.jpg?alt=media&token=72573ca0-970c-4b7d-9ad0-821d49aa4f45
17/1/2026,10:19:49,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Viva,Oeste,1,No,No,38.2842072,-0.7485203,6,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768641586660_mWnMQQhza2R28shbKgB1soANvGW2_q72vurbcs_1768641586660.jpg?alt=media&token=f78b8a9b-b5a0-487a-bd56-77e7790c3f1b
17/1/2026,10:16:01,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Alcorque,Este,1,Sí,No,38.2840603,-0.748514,5,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768641357782_mWnMQQhza2R28shbKgB1soANvGW2_azmtynfco_1768641357782.jpg?alt=media&token=0a81969d-cc72-4959-b842-e9c3b470fc08
17/1/2026,10:13:18,FiHKtFufyCIdMZ92kOwj,Rubén,Algarrobo,Hidropriming+germinado,Nodriza Muerta,Norte,1,No,No,38.2840578,-0.7485377,8,"",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768641195581_mWnMQQhza2R28shbKgB1soANvGW2_e9v7c38xn_1768641195581.jpg?alt=media&token=c129acfb-6f30-43d4-ab6b-a3ad1bb03b53
